Latitude,Longitude,Date,Depth,TEMP,PSAL
21.48,59.48,1973-04-08,0,26.39,13.195
21.48,59.48,1973-04-08,5,26.15,13.075
21.48,59.48,1973-04-08,10,25.95,12.975
21.48,59.48,1973-04-08,15,25.82,12.91
21.48,59.48,1973-04-08,20,25.71,12.855
21.48,59.48,1973-04-08,25,25.57,12.785
21.48,59.48,1973-04-08,30,24.79,12.395
21.48,59.48,1973-04-08,35,24.22,12.11
21.48,59.48,1973-04-08,40,24.07,12.035
21.48,59.48,1973-04-08,45,23.87,11.935
21.48,59.48,1973-04-08,50,23.48,11.74
21.48,59.48,1973-04-08,55,23.16,11.58
21.48,59.48,1973-04-08,60,23.11,11.555
21.48,59.48,1973-04-08,65,22.95,11.475
21.48,59.48,1973-04-08,70,22.23,11.115
21.48,59.48,1973-04-08,75,22.16,11.08
21.48,59.48,1973-04-08,80,21.88,10.94
21.48,59.48,1973-04-08,85,21.69,10.845
21.48,59.48,1973-04-08,90,21.65,10.825
21.48,59.48,1973-04-08,95,21.57,10.785
21.48,59.48,1973-04-08,100,21.38,10.69
21.48,59.48,1973-04-08,125,20.05,10.025
21.48,59.48,1973-04-08,150,19.34,9.67
21.48,59.48,1973-04-08,175,18.42,9.21
21.48,59.48,1973-04-08,200,18.39,9.195
21.48,59.48,1973-04-08,225,17.53,8.765
21.48,59.48,1973-04-08,250,17.27,8.635
21.48,59.48,1973-04-08,275,16.72,8.36
21.48,59.48,1973-04-08,300,16.46,8.23
21.48,59.48,1973-04-08,325,15.87,7.935
21.48,59.48,1973-04-08,350,15.21,7.605
21.48,59.48,1973-04-08,375,14.95,7.475
21.48,59.48,1973-04-08,400,14.45,7.225
21.48,59.48,1973-04-08,425,14.16,7.08
21.48,59.48,1973-04-08,450,13.93,6.965
21.48,59.48,1973-04-08,475,13.75,6.875